rodada upp submitted finished preempted notStarted submittedTasks finishedTasks success sumOfJobsMakespan sumOfTasksMakespan finishedCost preemptedCost totalCost costByTask nPeers nMachines instance limit group groupedCloudUser utilization realUtilization goodput badput avTime cost hostname ipaddress simulationDuration simulationDurationF
2 10 56 56 0 0 142393 142393 1.0000 668528 2084291912 1387.2630 0.0000 1387.2630 0.0097 50 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:36.909 96909
2 10 56 56 0 0 142393 142393 1.0000 425233 1070122032 1701.2380 0.0000 1701.2380 0.0119 50 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:41.956 101956
2 10 56 56 0 0 142393 142393 1.0000 1180676 4109624856 1266.3700 0.0000 1266.3700 0.0089 50 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:51.766 111766
3 1 9 9 0 0 47298 47298 1.0000 456936 1786457882 587.3820 0.0000 587.3820 0.0124 100 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:02:45.061 165061
3 1 9 9 0 0 47298 47298 1.0000 138835 441803025 800.0500 0.0000 800.0500 0.0169 100 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:03:01.706 181706
3 1 9 9 0 0 47298 47298 1.0000 572845 2239682062 1456.0800 0.0000 1456.0800 0.0308 100 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:03:02.542 182542
3 1 9 9 0 0 47298 47298 1.0000 2286639 9631580078 1050.8420 0.0000 1050.8420 0.0222 100 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:03:20.157 200157
3 1 9 9 0 0 47298 47298 1.0000 305036 1121398266 1542.6480 0.0000 1542.6480 0.0326 100 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:02:29.138 149138
3 1 9 9 0 0 47298 47298 1.0000 185109 679811539 1699.9320 0.0000 1699.9320 0.0359 100 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:01:59.259 119259
3 1 9 9 0 0 47298 47298 1.0000 105225 333646539 1807.0750 0.0000 1807.0750 0.0382 100 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:02:08.057 128057
3 1 9 9 0 0 47298 47298 1.0000 349941 1368102120 1308.5700 0.0000 1308.5700 0.0277 100 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:03:16.481 196481
3 1 2 2 0 0 17440 17440 1.0000 151232 1220221908 86.5640 0.0000 86.5640 0.0050 50 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:02:40.454 160454
3 1 2 2 0 0 17440 17440 1.0000 46545 309859277 92.3500 0.0000 92.3500 0.0053 50 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:02:21.938 141938
3 1 2 2 0 0 17440 17440 1.0000 189029 1525181108 132.0800 0.0000 132.0800 0.0076 50 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:37.939 37939
3 1 2 2 0 0 17440 17440 1.0000 733001 6076026405 140.8330 0.0000 140.8330 0.0081 50 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:51.700 51700
3 1 2 2 0 0 17440 17440 1.0000 101134 767917732 135.3040 0.0000 135.3040 0.0078 50 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:35.658 35658
3 1 2 2 0 0 17440 17440 1.0000 62244 472638889 156.3340 0.0000 156.3340 0.0090 50 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:27.642 27642
3 1 2 2 0 0 17440 17440 1.0000 35807 238376075 122.5550 0.0000 122.5550 0.0070 50 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:38.285 38285
