rodada makespan nPeers nMachines upp instance limit goodput badput avTime cost
 3  94514.500000000000000000  50 30  1 m1.large 100 -1 -1 -1   132.080000000000012505552
 3 366500.500000000000000000  50 30  1 m1.small 100 -1 -1 -1   140.832999999999998408384
 3  50567.000000000000000000  50 30  1 m1.xlarge 100 -1 -1 -1   135.304000000000002046363
 3  31122.000000000000000000  50 30  1 m2.2xlarge 100 -1 -1 -1   156.334000000000003183231
 3  17903.500000000000000000  50 30  1 m2.4xlarge 100 -1 -1 -1   122.555000000000006821210
 3  58170.000000000000000000  50 30  1 m2.xlarge 100 -1 -1 -1   139.120000000000004547474
 3  35178.849315068495343439 100 30  5 c1.medium 100 -1 -1 -1  3820.675999999999930878403
 3  11696.301369863012951100 100 30  5 c1.xlarge 100 -1 -1 -1  4241.720000000000254658516
 3  44706.863013698632130399 100 30  5 m1.large 100 -1 -1 -1  8090.140999999999621650204
 3 180633.630136986292200163 100 30  5 m1.small 100 -1 -1 -1  7538.725999999999658029992
 3  23904.917808219179278240 100 30  5 m1.xlarge 100 -1 -1 -1  8826.088999999999941792339
 3  14366.219178082192229340 100 30  5 m2.2xlarge 100 -1 -1 -1  9896.480999999999767169356
 3   8970.095890410959327710 100 30  5 m2.4xlarge 100 -1 -1 -1 12325.905000000000654836185
 3  26387.287671232876164140 100 30  5 m2.xlarge 100 -1 -1 -1  8009.417000000000371073838
 3  22621.590909090908098733  50 30  5 c1.medium 100 -1 -1 -1   223.807999999999992724042
